"PSMessageDetails","Exception","TargetObject","CategoryInfo","FullyQualifiedErrorId","ErrorDetails","InvocationInfo","ScriptStackTrace","PipelineIterationInfo"
,"System.Management.Automation.RemoteException:    |                   ^^^^^^",,"NotSpecified: (:) [], RemoteException","NativeCommandErrorMessage",,"System.Management.Automation.InvocationInfo","at <ScriptBlock>, <No file>: line 2
at <ScriptBlock>, <No file>: line 1","System.Collections.ObjectModel.ReadOnlyCollection`1[System.Int32]"
,"System.Management.Automation.RemoteException",,"NotSpecified: (:) [], RemoteException","NativeCommandErrorMessage",,"System.Management.Automation.InvocationInfo","at <ScriptBlock>, <No file>: line 2
at <ScriptBlock>, <No file>: line 1","System.Collections.ObjectModel.ReadOnlyCollection`1[System.Int32]"
,"System.Management.Automation.RemoteException: warning: `usrvclock` (lib) generated 4 warnings (run `cargo fix --lib -p usrvclock` to apply 1 suggestion)",,"NotSpecified: (:) [], RemoteException","NativeCommandErrorMessage",,"System.Management.Automation.InvocationInfo","at <ScriptBlock>, <No file>: line 2
at <ScriptBlock>, <No file>: line 1","System.Collections.ObjectModel.ReadOnlyCollection`1[System.Int32]"
,"System.Management.Automation.RemoteException: warning: hiding a lifetime that's elided elsewhere is confusing",,"NotSpecified: (:) [], RemoteException","NativeCommandErrorMessage",,"System.Management.Automation.InvocationInfo","at <ScriptBlock>, <No file>: line 2
at <ScriptBlock>, <No file>: line 1","System.Collections.ObjectModel.ReadOnlyCollection`1[System.Int32]"
,"System.Management.Automation.RemoteException:    --> searchfire\src\socket.rs:270:14",,"NotSpecified: (:) [], RemoteException","NativeCommandErrorMessage",,"System.Management.Automation.InvocationInfo","at <ScriptBlock>, <No file>: line 2
at <ScriptBlock>, <No file>: line 1","System.Collections.ObjectModel.ReadOnlyCollection`1[System.Int32]"
,"System.Management.Automation.RemoteException:     |",,"NotSpecified: (:) [], RemoteException","NativeCommandErrorMessage",,"System.Management.Automation.InvocationInfo","at <ScriptBlock>, <No file>: line 2
at <ScriptBlock>, <No file>: line 1","System.Collections.ObjectModel.ReadOnlyCollection`1[System.Int32]"
,"System.Management.Automation.RemoteException: 270 |     pub fn recv(&self, buffer: Vec<u8>) -> MdnsSocketRecv {",,"NotSpecified: (:) [], RemoteException","NativeCommandErrorMessage",,"System.Management.Automation.InvocationInfo","at <ScriptBlock>, <No file>: line 2
at <ScriptBlock>, <No file>: line 1","System.Collections.ObjectModel.ReadOnlyCollection`1[System.Int32]"
,"System.Management.Automation.RemoteException:     |                 ^^^^^                      ^^^^^^^^^^^^^^ the same lifetime is hidden here",,"NotSpecified: (:) [], RemoteException","NativeCommandErrorMessage",,"System.Management.Automation.InvocationInfo","at <ScriptBlock>, <No file>: line 2
at <ScriptBlock>, <No file>: line 1","System.Collections.ObjectModel.ReadOnlyCollection`1[System.Int32]"
,"System.Management.Automation.RemoteException:     |                 |",,"NotSpecified: (:) [], RemoteException","NativeCommandErrorMessage",,"System.Management.Automation.InvocationInfo","at <ScriptBlock>, <No file>: line 2
at <ScriptBlock>, <No file>: line 1","System.Collections.ObjectModel.ReadOnlyCollection`1[System.Int32]"
,"System.Management.Automation.RemoteException:     |                 the lifetime is elided here",,"NotSpecified: (:) [], RemoteException","NativeCommandErrorMessage",,"System.Management.Automation.InvocationInfo","at <ScriptBlock>, <No file>: line 2
at <ScriptBlock>, <No file>: line 1","System.Collections.ObjectModel.ReadOnlyCollection`1[System.Int32]"
,"System.Management.Automation.RemoteException:     |",,"NotSpecified: (:) [], RemoteException","NativeCommandErrorMessage",,"System.Management.Automation.InvocationInfo","at <ScriptBlock>, <No file>: line 2
at <ScriptBlock>, <No file>: line 1","System.Collections.ObjectModel.ReadOnlyCollection`1[System.Int32]"
,"System.Management.Automation.RemoteException:     = help: the same lifetime is referred to in inconsistent ways, making the signature confusing",,"NotSpecified: (:) [], RemoteException","NativeCommandErrorMessage",,"System.Management.Automation.InvocationInfo","at <ScriptBlock>, <No file>: line 2
at <ScriptBlock>, <No file>: line 1","System.Collections.ObjectModel.ReadOnlyCollection`1[System.Int32]"
,"System.Management.Automation.RemoteException:     = note: `#[warn(mismatched_lifetime_syntaxes)]` on by default",,"NotSpecified: (:) [], RemoteException","NativeCommandErrorMessage",,"System.Management.Automation.InvocationInfo","at <ScriptBlock>, <No file>: line 2
at <ScriptBlock>, <No file>: line 1","System.Collections.ObjectModel.ReadOnlyCollection`1[System.Int32]"
,"System.Management.Automation.RemoteException: help: use `'_` for type paths",,"NotSpecified: (:) [], RemoteException","NativeCommandErrorMessage",,"System.Management.Automation.InvocationInfo","at <ScriptBlock>, <No file>: line 2
at <ScriptBlock>, <No file>: line 1","System.Collections.ObjectModel.ReadOnlyCollection`1[System.Int32]"
,"System.Management.Automation.RemoteException:     |",,"NotSpecified: (:) [], RemoteException","NativeCommandErrorMessage",,"System.Management.Automation.InvocationInfo","at <ScriptBlock>, <No file>: line 2
at <ScriptBlock>, <No file>: line 1","System.Collections.ObjectModel.ReadOnlyCollection`1[System.Int32]"
,"System.Management.Automation.RemoteException: 270 |     pub fn recv(&self, buffer: Vec<u8>) -> MdnsSocketRecv<'_> {",,"NotSpecified: (:) [], RemoteException","NativeCommandErrorMessage",,"System.Management.Automation.InvocationInfo","at <ScriptBlock>, <No file>: line 2
at <ScriptBlock>, <No file>: line 1","System.Collections.ObjectModel.ReadOnlyCollection`1[System.Int32]"
,"System.Management.Automation.RemoteException:     |                                                          ++++",,"NotSpecified: (:) [], RemoteException","NativeCommandErrorMessage",,"System.Management.Automation.InvocationInfo","at <ScriptBlock>, <No file>: line 2
at <ScriptBlock>, <No file>: line 1","System.Collections.ObjectModel.ReadOnlyCollection`1[System.Int32]"
,"System.Management.Automation.RemoteException",,"NotSpecified: (:) [], RemoteException","NativeCommandErrorMessage",,"System.Management.Automation.InvocationInfo","at <ScriptBlock>, <No file>: line 2
at <ScriptBlock>, <No file>: line 1","System.Collections.ObjectModel.ReadOnlyCollection`1[System.Int32]"
,"System.Management.Automation.RemoteException: warning: missing documentation for a method",,"NotSpecified: (:) [], RemoteException","NativeCommandErrorMessage",,"System.Management.Automation.InvocationInfo","at <ScriptBlock>, <No file>: line 2
at <ScriptBlock>, <No file>: line 1","System.Collections.ObjectModel.ReadOnlyCollection`1[System.Int32]"
,"System.Management.Automation.RemoteException:    --> searchfire\src\broadcast\service.rs:379:2",,"NotSpecified: (:) [], RemoteException","NativeCommandErrorMessage",,"System.Management.Automation.InvocationInfo","at <ScriptBlock>, <No file>: line 2
at <ScriptBlock>, <No file>: line 1","System.Collections.ObjectModel.ReadOnlyCollection`1[System.Int32]"
,"System.Management.Automation.RemoteException:     |",,"NotSpecified: (:) [], RemoteException","NativeCommandErrorMessage",,"System.Management.Automation.InvocationInfo","at <ScriptBlock>, <No file>: line 2
at <ScriptBlock>, <No file>: line 1","System.Collections.ObjectModel.ReadOnlyCollection`1[System.Int32]"
,"System.Management.Automation.RemoteException: 379 |     pub fn add_additional_txt(mut self, name: DnsName, data: Vec<u8>) -> Self {",,"NotSpecified: (:) [], RemoteException","NativeCommandErrorMessage",,"System.Management.Automation.InvocationInfo","at <ScriptBlock>, <No file>: line 2
at <ScriptBlock>, <No file>: line 1","System.Collections.ObjectModel.ReadOnlyCollection`1[System.Int32]"
,"System.Management.Automation.RemoteException:     |     ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^",,"NotSpecified: (:) [], RemoteException","NativeCommandErrorMessage",,"System.Management.Automation.InvocationInfo","at <ScriptBlock>, <No file>: line 2
at <ScriptBlock>, <No file>: line 1","System.Collections.ObjectModel.ReadOnlyCollection`1[System.Int32]"
,"System.Management.Automation.RemoteException:     |",,"NotSpecified: (:) [], RemoteException","NativeCommandErrorMessage",,"System.Management.Automation.InvocationInfo","at <ScriptBlock>, <No file>: line 2
at <ScriptBlock>, <No file>: line 1","System.Collections.ObjectModel.ReadOnlyCollection`1[System.Int32]"
